PDF Name,Pages,Full Path
FlyBack_DJ_and_test.pdf,48,./FlyBack_DJ_and_test.pdf
Gain_and_tank_characterization_V0.pdf,39,./Gain_and_tank_characterization_V0.pdf
EMC_Conducted_Emissions_Test_V4.pdf,30,./EMC_Conducted_Emissions_Test_V4.pdf
03_LLC_48v_LLC_output_capa_v4.pdf,22,./03_LLC_48v_LLC_output_capa_v4.pdf
01_LLC_48v_LLC_Magnetic_Cores_V3.pdf,22,./01_LLC_48v_LLC_Magnetic_Cores_V3.pdf
LLC_DCDC_V5_Gerber_and_layout.pdf,12,./LLC_DCDC_V5_Gerber_and_layout.pdf
01_LLC_48v_LLC_tank_design_note_v2.pdf,11,./01_LLC_48v_LLC_tank_design_note_v2.pdf
HV_architecture_of_the_LLC converter.pdf,11,./HV_architecture_of_the_LLC converter.pdf
LLC_Safety_tests_V0.pdf,9,./LLC_Safety_tests_V0.pdf
LLC_1200W_Efficiency_test.pdf,9,./LLC_1200W_Efficiency_test.pdf
LLC_DCDC_V5_Modifications.pdf,7,./LLC_DCDC_V5_Modifications.pdf
LLC_DCDC_V5.pdf,7,./LLC_DCDC_V5.pdf
LLC_DCDC_V5_BOM.pdf,1,./LLC_DCDC_V5_BOM.pdf

TOTAL,228
